,time,btc_change,eth_change
557,2020-07-11,-0.58,-0.86
558,2020-07-12,0.74,1.51
559,2020-07-13,-0.65,-1.34
560,2020-07-14,0.14,0.39
561,2020-07-15,-0.63,-0.77
562,2020-07-16,-0.69,-2.1
563,2020-07-17,0.23,-0.39
564,2020-07-18,0.17,1.29
565,2020-07-19,0.42,1.46
566,2020-07-20,-0.52,-1.3
567,2020-07-21,2.5,4.06
568,2020-07-22,1.36,7.42
569,2020-07-23,0.89,4.38
570,2020-07-24,-0.68,1.39
571,2020-07-25,1.7,9.35
572,2020-07-26,2.38,1.86
573,2020-07-27,11.06,3.51
574,2020-07-28,-1.12,-1.61
575,2020-07-29,1.78,0.3
576,2020-07-30,-0.01,5.38
577,2020-07-31,2.12,3.44
578,2020-08-01,4.11,11.75
579,2020-08-02,-6.18,-3.77
580,2020-08-03,1.34,3.62
581,2020-08-04,-0.25,0.96
582,2020-08-05,4.94,2.86
583,2020-08-06,0.15,-1.48
584,2020-08-07,-1.43,-3.91
585,2020-08-08,1.44,4.66
586,2020-08-09,-0.67,-1.74
587,2020-08-10,1.81,1.36
588,2020-08-11,-4.21,-4.15
589,2020-08-12,1.51,2.16
590,2020-08-13,1.86,9.65
591,2020-08-14,-0.16,3.2
592,2020-08-15,0.78,-1.32
593,2020-08-16,0.49,0.31
594,2020-08-17,3.11,-0.63
595,2020-08-18,-2.74,-2.07
596,2020-08-19,-1.59,-3.43
597,2020-08-20,0.84,2.08
598,2020-08-21,-2.72,-6.72
599,2020-08-22,1.14,1.88
600,2020-08-23,-0.13,-1.14
601,2020-08-24,0.86,4.34
602,2020-08-25,-3.66,-6.07
603,2020-08-26,1.26,0.76
604,2020-08-27,-1.14,-0.66
605,2020-08-28,1.73,3.08
606,2020-08-29,-0.53,0.9
607,2020-08-30,2.14,7.6
608,2020-08-31,-0.53,1.13
609,2020-09-01,2.34,9.59
610,2020-09-02,-4.47,-7.55
611,2020-09-03,-10.96,-13.22
612,2020-09-04,3.04,1.03
613,2020-09-05,-2.68,-13.05
614,2020-09-06,0.88,5.3
615,2020-09-07,1.15,0.21
616,2020-09-08,-2.38,-4.58
617,2020-09-09,0.91,3.98
618,2020-09-10,1.15,4.87
619,2020-09-11,0.49,1.55
620,2020-09-12,0.51,3.79
621,2020-09-13,-1.03,-5.51
622,2020-09-14,3.28,2.92
623,2020-09-15,1.06,-3.46
624,2020-09-16,1.56,0.29
625,2020-09-17,-0.13,6.66
626,2020-09-18,-0.06,-1.27
627,2020-09-19,1.35,0.22
628,2020-09-20,-1.45,-3.69
629,2020-09-21,-4.61,-8.27
630,2020-09-22,1.08,1.15
631,2020-09-23,-2.74,-6.82
632,2020-09-24,4.83,8.81
633,2020-09-25,-0.46,0.85
634,2020-09-26,0.39,0.57
635,2020-09-27,0.43,1.0
636,2020-09-28,-0.73,-1.01
637,2020-09-29,1.35,1.66
638,2020-09-30,-0.59,0.01
639,2020-10-01,-1.46,-1.94
640,2020-10-02,-0.46,-2.05
641,2020-10-03,-0.27,0.1
642,2020-10-04,1.18,1.86
643,2020-10-05,1.18,0.36
644,2020-10-06,-1.78,-3.64
645,2020-10-07,0.63,0.23
646,2020-10-08,2.43,2.74
647,2020-10-09,1.15,4.01
648,2020-10-10,2.2,1.51
649,2020-10-11,0.67,0.99
650,2020-10-12,1.4,3.3
651,2020-10-13,-0.93,-1.42
652,2020-10-14,-0.02,-0.62
653,2020-10-15,0.76,-0.28
